<TOKEN>,<NUM>,<DATE>,<CODE>,<DESCR>
1180,54,14.10.19,003,Течь масла из редуктора на пол.
1181,55,12.10.19,003,Оператор повредил защитный костюм об острые края деталей.
1182,56,25.10.19,003,Не горит 6 ламп потолочного освещения. В темное время суток плохая видимость на участке.
1183,57,26.10.19,003,СП 1 завален готовой продукцией. Безопасное перемещение по посту невозможно.
1184,58,26.10.19,003,Продукция на ПФ стоит не по разметке и выступает в проход.
1185,59,25.10.19,003,Продукция на ЛППП  выступает в проход между уч. №243 и складом №2. Возможно спотыкание.
1186,60,26.10.19,003,СП 1 завален готовой продукцией. Безопасное перемещение по посту невозможно.
1187,61,27.10.19,003,На пешеходной дорожке лежит строп. Возможно спотыкание. 
1188,62,26.10.19,003,За FICEP стоит тара с неизвестной химией. Возможен розлив и отравление.
1189,63,25.10.19,003,Из стеллажа торчала труба  о которую я споткнулся и едва не ударлся головой.
1190,64,26.10.19,003,На СП 8 торчал пруток из пола. Возможно спотыкание.
1191,65,17.10.19,003,На полу оголенные провода свисают из ПР 16. Возможно поражение электр.током.
1192,66,20.10.19,003,Недостаточное освещение на посту №21. Возможно спотыкание во 2-ю смену
1193,67,21.10.19,003,Недостаточное освещение на посту №17. Возможно спотыкание во 2-ю смену
1194,68,18.10.19,003,"""Дорога жизни"" заставлена комплектовками. Возможно спотыкание при транспортировке деталей."
1195,69,19.10.19,003,С зоны REDBIN выступает швеллер на пешеходную дорожку. Возможно спотыкание.
1196,70,18.10.19,003,На проходе стоит тележка с перевернутыми от падения дверьми. Затруднено безопасное передвижение по цеху.
1197,71,22.10.19,003,Электрошнур от телеги попал под её колеса. Есть риск его перебить.
1198,72,22.10.19,003,Контейнер с готовой продукцией стоял в зоне парковки авто. Есть риск повредить продукцию при въезде .
1199,73,18.10.19,003,"""Дорога жизни"" заставлена комплектовками. Возможно спотыкание при транспортировке деталей."
1200,74,22.10.19,003,Во время прохода в цех споткнулась о выступающую часть пола.
1201,75,22.10.19,003,Во время комплектования зацепился о просечку торчащую из контейнера. Порвал спецодежду.
1202,76,23.10.19,003,Во время движения по участку споткнулась о штырь выступающий из пола.
1203,77,22.10.19,003,Листы лежащие на перепаде полов не закреплены. Возможно падение.
1204,78,23.10.19,003,Течет ливневая канализания возле СП 14. Вода на пешеходной дорожке
1205,79,25.10.19,003,Тележка для перемещения деталей стоит перекрывая пешеходную дорожку.
1206,80,10.10.19,003,На пешеходной  дорожке лежит полоса и отходит от пола. При проходе едва не упал споткнувшись о нее.
1207,1,01.11.19,003,Под щитом освещения неиспользуемые оголенные провода. Есть риск получить удар током.
1208,2,06.11.19,003,Провода питания пресса не уложены в лоток. Возможно спотыкание.
1209,3,02.11.19,003,На сварочном посту PRIZMA много ям в полу. Возможно спотыкание.
1210,4,07.11.19,003,Нет доступа у распределительному тепловому узлу. Заставлен контейнерами.
1211,5,07.11.19,003,На проводе управления передаточной тележки повреждена изоляция. Возможно возгорание.
1212,6,07.11.19,003,У стула поломана ножка. Можно получить травму.
1213,7,01.11.19,003,В полу рядом с доской заданий образовалась ямка. Возможно спотыкание и падение.
1214,8,01.11.19,003,На посту зачистки крючков из шкафа с автоматами торчат оголенные провода. Возможно получить удар током.
1215,9,06.11.19,003,Межпролетная тележка стоит перекрывая проход. Возможно падение\затруднение передвижения при ЧС
1216,10,06.11.19,003,На СП-2 стоит комплектовка с прокладочным материалом(бумага). Возможно возгорание
1217,11,01.11.19,003,На СП-10 детали из комплектовки торчат из контейнера прямо в проход. Возможно получить травму.
1218,12,06.11.19,003,Споткнулась о металлический пандус
1219,13,06.11.19,003,При проходе по участку споткнулась о болты торчащие из пола.
1220,14,02.11.19,003,Подвесы траверс в неисправном состоянии. Приходится вручную дотягивать траверсу до поста. Люди работают под траверсой.
1221,15,02.11.19,003,В зоне складывания продукции торчит труба. Есть риск получить травму.
1222,16,02.11.19,003,На посту разгрузки перепад полов о который можно споткнуться и упасть.
1223,17,01.11.19,003,Повреждена изоляция провода перед серой кабиной. Возможен удар током.
1224,18,03.11.19,003,Пульт управления ЛППП в открыт и находится в свободном доступе. 
1225,19,05.11.19,003,Недостаточно освещения в камерах ПФ.
1226,20,06.11.19,003,Неисправность работы подъемника в камере. 
1227,21,09.11.19,003,Поломка конвейера. Детали упали рядом с оператором
1228,22,05.11.19,003,Проходя по уч.№ 243 увидел  что заготовка из комплектовки торчит на пешеходную дорожку. Возможно спотыкание.
1229,23,05.11.19,003,Автомобиль (ВЗТ) стоит в цеху заведеный. 
1230,24,01.11.19,003,На двери входа в модуль установлен тугой доводчик. При закрывании двери сильно бъет о проем. Возможно зажатие руки.
1231,25,07.11.19,003,На входной двери в СГИ отсутствует ручка. Приходится открывать дверь цепляясь за её ребро. Риск повредить пальцы.
1232,26,08.11.19,003,Электро кар проезжает мимо модуля ИТР и может зацепить человека выходящего из модуля.
1233,27,02.11.19,003,На участок вывезли трубы из которых ссыпалась дробь на пол. Сварщик поскользнулся на ней и едва не упал.
1234,28,12.11.19,003,Между СП 2 и СП 3 валяется моток сварочной проволоки. Есть возможность запнуться и получить травму
1235,29,12.11.19,003,На СП 21 из пола торчат два железных прутка. Возможно спотыкание.
1236,30,12.11.19,003,На проходе возле СП 1 стоит контейнер с торчащей из него заготовкой. Возможно получить травму.
1237,31,14.11.19,003,На СП 7 лежит готовая продукция перекрывая проход. Мешает безопасному перемещению по посту.
1238,32,14.11.19,003,На СП 8 привезли заготовку в сломанном контейнере. Риск поломки контейнера при транспортировке краном.
1239,33,14.11.19,003,На СП 4 лежит прокладочный материал. Возможно возгорание.
1240,34,14.11.19,003,На СП 2 стоит балло со смесью не пристегнуттый к колонне.
1241,35,13.11.19,003,Поцарапался о торчащую из стеллажа деталь.
1242,36,14.11.19,003,На кран-балке отсутствуют тормоза.
1243,37,14.11.19,003,Подкрановые пути имеют большой износ. Кран-балка прыгает при езде.
1244,38,09.11.19,003,Запнулся о сетку  которая лежала на полу.
1245,39,09.11.19,003,Поцарапался о торчащую из стеллажа деталь.
1246,40,14.11.19,003,Споткнулся о выбоину м-ду 2м и 3м стеллажом.
1247,41,10.11.19,003,При прр задели контейнером стойки стеллажа т.к. они высоко торчат вверх. Контейнер и стеллаж едва не упали.
1248,42,14.11.19,003,Споткнулся о швеллер лежащий на полу
1249,43,11.11.19,003,Проходя между стеллажами зацепился курткой о деталь торчащую из стеллажа деталь.
1250,44,14.11.19,003,Споткнулся о торчащие из пола штыри
1251,45,13.11.19,003,На СП 9 продукция лежит на полу  что не исключает её повреждения.
1252,46,15.11.19,003,На СП 11 торчит из пола труба о которую можно споткнуться
1253,47,14.11.19,003,На СП 11 лежит прокладочный материал(доски). Возможно возгорание.
1254,48,06.11.19,003,"Под щитом освещения оголенные неиспользуемые провода  могут быть под напряжением
"
1255,49,12.11.19,003,"На оборудовании провода не уложены в лоток 
"
1256,50,14.11.19,003,"Сильная утечка воздуха из распределительного узла в связи с повреждением шланга
"
1257,51,16.11.19,003,"После проведения рем. работ не убран инструмент и старые запчасти  риск спотыкания и падения
"
1258,52,20.11.19,003,"Разукомплектован пожарный щит
"
1259,53,22.11.19,003,"После проведения рем. работ не убран инструмент и удлинитель
"
1260,54,09.11.19,003,Ямы и рытвина на участке PRIZMA
1261,55,13.11.19,003,"Шланг пневмопистолета для обдува деталей не закреплен. Возможно повреждение при работе подъемника
"
1262,56,15.11.19,003,"Неиспользуемые оголенные провода в стене
"
1263,57,19.11.19,003,"После проведения сварочных работ на полу обрезки металла
"
1264,58,21.11.19,003,"После проведения регламентных работ не убрана лестница. Возможно её использование не по назначению и получение травмы
"
1265,59,15.11.19,003,Возле входа на роботизированную сварку поставили контейнер из которого торчит уголок прямо в проход. Возможно получить травму.
1266,60,17.11.19,003,При проходе между стеллажами 13-14 зампулась о заготовку торчащую из стеллажа.
1267,61,14.11.19,003,Из-за отсутствия тормозов на кран-балке она покатилась и зацепила стоящий контейнер из которого посыпались детали.
1268,62,19.11.19,003,На участке лежит поддон. Поддон деревянный. Возможно возгорание.
1269,63,19.11.19,003,На СП 3 лежит прокладочный материал. Возможно возгорание
1270,64,19.11.19,003,На СП 4 заготовку поставили в рабочую зону сварщика. Возможно спотыкание сварщика при работе.
1271,65,19.11.19,003,Около стеллажа хранения сварочной проволоки разбросаны пустые картонные коробки.
1272,66,19.11.19,003,Комплектовку поставили в близи рабочего места сварщика. Возможно спотыкание.
1273,67,19.11.19,003,На СП 2 в проходе лежит брусок. Есть риск спотыкания.
1274,68,19.11.19,003,На проходе возле СП 17 торчат 4 металлические шпильки. Возможно спотыкание.
1275,69,16.11.19,003,В зоне складирования металла из нижней пачки уголок выступал на 300-400 мм о который споткнулся оператор
1276,70,19.11.19,003,Из зоны хранения неокрашенных изделий торчит деталь прямо на проход. Есть риск спотыкания
1277,71,13.11.19,003,Споткнулся о неровности пола возле стеллажа 1КБ
1278,72,13.11.19,003,Из-за отсутствия тормозов на кран-балке она покатилась и зацепила стоящий контейнер из которого посыпались детали.
1279,73,19.11.19,003,Споткнулмся о выступающие из стеллажа детали.
1280,74,21.11.19,003,В модуле ДОТК с потолка течет вода. Возможно замыкание проводки.
1281,75,21.11.19,003,На СП 24 хранится готовая продукция которая частично перекрывает проход.
1282,76,24.11.19,003,На посту завески пустая тара стоит на проходе.
1283,1,01.12.19,003,Нет свободного доступа к электрощиту. Возможно создать опасность при ЧС.
1284,2,02.12.19,003,Нет свободного доступа к электрощиту. Возможно создать опасность при ЧС.
1285,3,03.12.19,003,Нет доступа к тепловому узлу
1286,4,04.12.19,003,Нет доступа к пожарному щиту
1287,5,02.12.19,003,На СП 10 сгорела лампа местного освещения. Во 2ю смену плохо видно.
1288,6,02.12.19,003,Возле участка сварки PRISMA с потолка капает вода на пеш.дорожку.
1289,7,03.12.19,003,Повреждение изоляции эл.кабеля на межпролетной тележке.
1290,8,03.12.19,003,Утечка воздуха на ЛППП. Возможна некорректная работа оборудования
1291,9,03.12.19,003,Споткнулся о комплектовку на СП 8. 
1292,10,04.12.19,003,Спотнулся о швеллер торчащий из стеллажа.
1293,11,03.12.19,003,Запнулся о торччащий из пола швеллер.
1294,12,04.12.19,003,Из-за недостаточного освещения споткнулся о детали.
1295,13,03.12.19,003,Запнулся о выступ на приемке.
1296,14,03.12.19,003,Зацепился о швеллер торчащий из контейнера. Порвал СИЗ.
1297,15,04.12.19,003,Подходя к своему рабочму месту споткнулась о трубу.
1298,16,05.12.19,003,Споткнулся о швеллер торчащий из пола возле стеллажа 1КБ
1299,17,04.12.19,003,На 11 пост привезли комплектовку на которой много заусенцев. Можно порезать руки во время работы.
1300,18,05.12.19,003,На межпролетной телеге лежат швеллера  которые выступают за габариты телеги. Возможно спотыкание.
1301,19,05.12.19,003,Между СП 20 и СП 21 лежит уголок о котрый можно споткуться.
1302,20,05.12.19,003,В проходе между СП 14 и СП 15 стоит контейнер с комплектовкой. Есть риск нанести себе травму.
1303,21,06.12.19,003,Межпролетная тележка стоит перекрывая проход. Возможно падение\затруднение передвижения при ЧС
1304,22,06.12.19,003,На СП 20 после комплектовки остались деревянные бруски. Возможно возгорание
1305,23,07.12.19,003,На СП 23 стоит перепоненный контейнер с готовой продукцией. Возможно спотыкание 
1306,24,07.12.19,003,На СП 25 готовая продукция лежит на полу. Возможно спотыкание
1307,25,08.12.19,003,На СП 25 после комплектовки остался деревянный поддон. Возможно спотыкание.
1308,26,07.12.19,003,Не закрыта дверца электрического шкафа. Возможно поражение электрическим током.
1309,27,07.12.19,003,Не закреплен решетчатый настил в камере маляров. Возможно падение.
1310,28,16.12.19,003,Переполнен мусорный бак и не вывозится. Возможно размножение паразитов.
1311,29,16.12.19,003,Приямок на ЛППП заполнен водой. Возможен розлив воды по участку.
1312,30,12.12.19,003,В краскоприготовительном отделении произошел розлив краски.
1313,31,12.12.19,003,На посту завески лежат посторонние предметы  мусор. Возможно спотыкание.
1314,32,06.12.19,003,При перевозке деталей часть из них высыпались в близи ног оператора.
1315,33,06.12.19,003,Складирование деталей осушествлено с нарушением. Возможно падение деталей.
1316,34,06.12.19,003,На шкафу для верхней одежды стоят коробки. Шкаф стоит неустойчего и возможно падение коробок на мимо проходящего человека.
1317,35,07.12.19,003,Сломались ворота. Не закрываются. Риск массового заболевания людей.
1318,36,05.12.19,003,Из контейнера с готовой продукцией торчит уголок о который можно споткнуться.
1319,37,06.12.19,003,На пешеходной дорожке лежит лист рифленки о который можно споткнуться.
1320,38,10.12.19,003,При выгрузке комплектовки на СП 21 запнулся о чтоящие детали.
1321,39,11.12.19,003,Споткнулся о рельсы межпролетной телеги во время комплектования.
1322,40,10.12.19,003,Ударился о детали торчащие из стеллажа №5
1323,41,13.12.19,003,Во время перекатывания межпристройной телеги с крыши упала сосулька и едва не задела меня.
1324,42,17.12.19,003,Кабель от УШМ протянут поперек прохода. Возможно спотыкание.
1325,43,18.12.19,003,Высокий перепад пола при въезде во 2й пристрой. Возможно падение.
1326,44,14.12.19,003,У ДРБ машины рассыпалась дробь. Есть риск падения при передвижении рядом с машиной.
1327,45,17.12.19,003,Споткнулся о лист который закрывает яму в полу.
1328,46,15.12.19,003,Оператор находился без СИЗ в цеху(без каски)
1329,47,14.12.19,003,Запнулся о неровности пола(яму). Едва не упал.
1330,48,18.12.19,003,Споткнулся о прокладочный материал на котором лежат заготовки.
1331,49,17.12.19,003,Из-за плохого освещения не заметил торчащую из стеллажа просечку и зацепился за нее. Порвал СИЗ.
1332,50,18.12.19,003,Самопроизвольно покатилась телега с комплектовкой из-за отсутствия стопора
1333,51,16.12.19,003,Запнулся о швеллер торчащий из контейнера.
1334,52,11.12.19,003,При комплектовании споткнулся о детали лежащие на полу.
1335,53,17.12.19,003,Зацепился о швеллер торчащий из контейнера. Порвал СИЗ.
1336,54,14.12.19,003,Течь масла из редуктора на пол.
1337,55,12.12.19,003,Оператор повредил защитный костюм об острые края деталей.
1338,56,12.12.19,003,Вода на пешеходной дорожке. Возможно поскальзываение.
1339,57,13.12.19,003,В модуле мастеров оттопырился линолеум. Возможно спотыкание.
1340,58,14.12.19,003,На СП 21 стоит контейнер с длинными деталями на проходе. Возможно спотыкание
1341,59,15.12.19,003,Край швеллера из контейнера торчит на пешеходную дорожкку. Возможно спотыкание или порез
1342,60,16.12.19,003,Из стеллажа СВХ торчит деталь прямо на проход. Возможно спотыкание.
1343,61,17.12.19,003,Пустой контейнер из-под комплектовки стоит на пешеходной дорожке и мешает безопасному проходу.
1344,62,18.12.19,003,Гидравлическая тележка стоит на пешеходной дорожке и мешает безопасному проходу.
1345,63,19.12.19,003,Оператор склада при перевозке крупногабаритных листов на гидравлической тележке не справился с управлением листы посыпались из контейнера т.к. полы на участке №244 под уклоном.
1346,1,11.03.19,004,при въезде на холодный склад  свисает снежная кромка  которая может сползти в любой момент и нанести травму.
1347,2,19.03.19,004,На SG 3 на электроприводе ленте   разбит кожух у электромотора   туда может попасть отход и произойдёт замыкание.
1348,3,19.03.19,004,На участке ред бин есть яма  можно споткнутся и упасть.
1349,4,21.03.19,004,На выходе из цеха из двери   под дверью лужа и наледь во время заморозков. Риск падения.
1350,5,22.03.19,004,В зоне ред бин на полу осталось крепление от станка. Есть риск споткнутся и упасть
1351,6,22.03.19,004,Из под станка формовки течёт масло  есть риск подскользнутся.
1352,7,23.03.19,004,Неисправны подпоры для парковки пресса. Риск перекоса траверсы и поломки оборудования.
1353,8,23.03.19,004,При утилизации и складировании полиэтиленовых пакетов со шламом и сажей в общий контейнер естьверояность разрушения пакетов об твёрдые отходы. 
1354,9,23.03.19,004,Между гибочным станком и прессом в бетонном полу яма. Есть вероятность попасть ногой и упасть
1355,10,26.03.19,004,На полу лежит шланг от воздушного резока. Есть риск споткнутся.
1356,11,26.03.19,004,Подход к рулону с упаков. Бумагой заставлен тарой  поддонами есть риск споткнутся.
1357,12,28.03.19,004,Во время дождей на лаз.участке за лазером 1-2 образуются лужи. Часть оборудования находится в этой зоне. Риск короткого замыкания
1358,13,28.03.19,004,Узкий проход (менее 600мм) между станком и стеллажом с инструментом.
1359,14,28.03.19,004,существует опасность получения травмы при разборе листов у стола. Внизу листы железа приподнеты над полом.
1360,15,28.03.19,004,Лужа масла на участкевозле p-60. есть риск подскользнутся и получить травму.
1361,16,28.03.19,004,За станком № 6326 торчит кусок заземления с болтом   есть возможность спотыкнуться и получить травму.
1362,17,28.03.19,004,Между проходом склада и участком резки лежит маслянная бумага. Есть риск упасть.
1363,18,28.03.19,004,Возле станка 9 в шине заземления торчит болт 4 - 5 мм. Это может привести к травме
1364,19,28.03.19,004,Возле гибочного станка фемас   на поддоне лежал швеллер длиною более 2х метров с острыми кромками  это могло привести к травме ног.
1365,20,28.03.19,004,Напротив станка амад около колонны  торчат крепления основания колонны. Риск споткнутся.
1366,21,28.03.19,004,Сломалсь ручка молота. Риск ушиб
1367,22,28.03.19,004,За прессом 6428 наверху оголённый провод. Риск получить удар током.
1368,23,28.03.19,004,между станком 5 и 10 торчит штырь
1369,24,28.03.19,004,за станком амада 80-25 течёт на системе отопления течёт кран.
1370,25,29.03.19,004,В районе проведения СИМ   внизу колонны торчат болты крепления опоры. Риск споткнутся.
1371,1,02.04.19,004,У станка RAS подтекание масла. Образовалась лужа.
1372,2,02.04.19,004,На вальцавке необозначена опасная зона.
1373,3,08.04.19,004,Между 18 и 17 станком стоял контейнер с деталями и мешал проходу. Риск споткнутся и упасть.
1374,4,09.04.19,004,Привезли на участок сломанный поддон для готовых деталей.
1375,5,09.04.19,004,Из под рабочего стола  торчали приспособления под длинные листы. Риск получить травму.
1376,6,10.04.19,004,Возле места хранения было разлито масло. Риск подскользнутся и упасть.
1377,7,10.04.19,004,не работают указатели поворота.
1378,8,10.04.19,004,Не работает стоп сигнал
1379,9,10.04.19,004,С полуоси течёт масло. Есть риск загрязнение окр. Среды подскользнутся.
1380,10,10.04.19,004,на 511 участке на прессе 2 имеется подтекание масла  через трубки  что может привести к поломке пресса.
1381,11,10.04.19,004,На электрощитке на 511 участке сломана ручка. Щиток плохо закрывается и открывается
1382,12,10.04.19,004,"Возле шкафчиков личных вещей   участка штамповки неблежно лежала обрезь металла ""просечка"" с острыми кромками   был риск получить травму ног."
1383,13,11.04.19,004,В кабинете декоративная планка плафона свисает над головой  есть риск что она упадёт на голову.
1384,14,11.04.19,004,В кабинете очень много проводов в хаотичном порядке  есть риск споткнутся.
1385,15,11.04.19,004,В электрокаре с редуктора течёт масло.
1386,16,11.04.19,004,На входе в цех около ворот  из асфальта выступает труба  которая удерживает ворота от закрывания. Есть риск споткнутся. 
1387,17,23.04.19,004,В трубе коллифера появиласмь протечка  течёт горячая вода. Имеется риск подскользнутся при работе и получить травму.
1388,18,23.04.19,004,При поднятии груза  сверху издаётся звук (скрежет)
1389,19,26.04.19,004,В душе отсутствуют резиновые коврики возможно подсользнутся 
1390,20,26.04.19,004,На станке находятся сломанный поддон с бошими деталями Есть риск падения.
1391,1,11.05.19,004,На станке bystronic не горит свет  это может привести к ухудшению зрения сотрудника!
1392,2,12.05.19,004,Около станка GUIFIL стоял вентилятор без вилки  что может привести к удару током.
1393,3,14.05.19,004,В проходе стоял поддон  что могло привести к травме.
1394,4,14.05.19,004,Около гибочного станка FINN-POWER №2  неровные полы. Возможно падение и получения травм. 
1395,5,15.05.19,004,Из бака для отходов металла выпирала крупногабаритная обрезь. Риск травмирования.
1396,6,15.05.19,004,Обнаружил стул со сломанной ножкой. Риск падения.
1397,7,15.05.19,004,Нет прохода к упаковочной бумагою.
1398,8,15.05.19,004,После пробивки деталей на С5 остаются отходы  которые складируются на пол. Есть риск травмы.
1399,9,15.05.19,004,"""Телега-контейнер"" для обрези переполнена   в любой момент может развалиться  что может привести к различным последствиям травм."
1400,10,15.05.19,004,Места хранения баллонов с гелием и азотом не отмечены разметкой и знаками как места повышенной опасности
1401,11,15.09.19,004,За гибочным станком FINN-POWER №3 яма с острыми краями. Есть риск споткнуться.
1402,12,15.05.19,004,На посту зачистки деталей на старых шаберах отсутствует защита для пальцев
1403,13,16.05.19,004,На станке bystronic течет масло. Риск падения.
1404,14,16.05.19,004,Валялись стропы на проходе  возможна травма.
1405,15,20.05.19,004,В мужском туалете отсутствует освещение в двух кабинках из трех. Риск получить травму
1406,16,20.05.19,004,В мужской душевой отошла напольная плитка. Риск получить травму.
1407,17,20.05.19,004,За станком № 3 в 51 участке лежит шланг подачи воздуха. Риск споткнуться.
1408,18,21.05.19,004,На полосе  которая подсоединена к заземлению  торчали болты. Риск споткнуться и получить травму.
1409,19,21.05.19,004,Около станка № 8 в 51 участке было разлито масло после ТО станка. Риск падения.
1410,20,21.05.19,004,Между станками № 6 и № 2 на проходе к ящикам дляхранения инструментов лежит обрезь с отсрыми краями. Риск получить травму.
1411,21,21.05.19,004,Около станка №3 51 участка лежит поддон с деталими длинной более 3 метров  загораживающий проход.
1412,22,21.05.19,004,Стерлась разметка вокруг станка
1413,23,21.05.19,004,Имежду станком № 17 и стелажом №8 лежит шланг подачи воздуха. Риск споткнуться и упасть. 
1414,24,21.05.19,004,Возле станка  № 15 на столе стоял поддон с торчащими гвоздями. Риск получить травму.
1415,25,21.05.19,004,Детали (длинномер) находились за линией разметки. Что может привести к травме
1416,26,22.05.19,004,Сзади гибочного автомата PSBB  где расположен вход. На полу не закрепленно заземление. Есть риск падения и травмы
1417,27,22.05.19,004,Обнаружил поддон с крупногабаритными деталями без сигнального маркера. Есть риск получить травму
1418,28,22.05.19,004,На участке были обнаружены сломанные поддоны с деталями. Риск падения деталей и получения травм.
1419,29,27.05.19,004,около станка №10 привезли поддон с деталями и поддон был сломан. Риск падения деталей на ноги.
1420,1,05.06.19,004,подтоплены водой из душевой шкафы для переодевания в раздевалке. Сырость скользкие полы.
1421,2,05.09.19,004,У вальцовочного станка HRC50 стол на приёме детале стоит слишком близко к станку. Возможно зажатие оператора заготовкой. 
1422,3,10.06.19,004,На складе металла высота поддонов выше допустимого.
1423,4,10.06.19,004,Подон стоял на проходе есть риск споткнуться.
1424,5,11.06.19,004,Стропы лежат на проходе   есть риск споткнуться.
1425,6,13.06.19,004,Течь масла со станины  на полу лужа. Риск падения.
1426,7,14.06.19,004,Прижиму станка работают некорректно  травят патрубки.
1427,8,14.06.19,004,Около умывальника на полу вода. Есть риск подскользнутся.
1428,9,17.06.19,004,Между учкастком резки и складом на полу лежит маслянная бумага. Есть риск упасть.
1429,10,18.06.19,004,На участке резки из контейнера для обрези торчит обрезь.есть риск порезаться.
1430,11,18.06.19,004,Разрушение металлоконструкциий кабины
1431,12,18.06.19,004,При иницилизации станка   мешают поддоны с деталями ударяешься ногой об них  так как растояние между станками узкое.
1432,13,18.06.19,004,На лазере №3 возле станка потрескалась плитка   можно споткнутся.
1433,14,18.06.19,004,Около большой вальцовки вдоль рельс очень неровные полы есть ямы.
1434,15,18.06.19,004,Обрезь металлическая толщиной 5 мм и выше распологается на тележке и может упасть с большой высоты на ногу.
1435,16,18.06.19,004,возле станка 18 стоял поддон с длинной полосой. Риск споткнутся 
1436,17,19.06.19,004,На крыше забиты сливные стоки  что приводит к протеканию воды в цех и образованию больших луж возле станков  находящихся под напряжением.
1437,18,19.06.19,004,Над кабинетом где находятся технологи лазерного участка   отошли облицовочные панели   возможен риск обрушения.
1438,19,19.06.19,004,Под С5 не прикручено заземление  есть риск падения и получения травмы.
1439,20,19.06.19,004,На полу лежит шланг возле абканта 4   для подачи воздуха. Риск споткнуться.
1440,21,19.06.19,004,Течь масла с редуктора.
1441,22,19.06.19,004,Не работает стоп сигнал.
1442,23,20.06.19,004,Не работают указатели поворотов
1443,24,20.06.19,004,Возле центральных ворот 51 участка из под асфальта торчит труба  есть риск споткнутся.
1444,25,20.06.19,004,Контейнер с деталями стоит не по разметке и есть риск споткнутся или ударится об него.
1445,26,20.06.19,004,Сломался кран в уборной и на пол льётся вода. Риск подскользнутся и упасть.
1446,27,20.06.19,004,На полосе заземления торчат болты  риск споткнутся.
1447,28,20.06.19,004,Сломана стойка на стеллаже супермаркета   риск получить травму при падении детали.
1448,29,20.06.19,004,Между станком 12 и 18 на пластинах которые подведены к электропитанию станка торчат железобетонные болты  риск споткнутся.
1449,30,20.06.19,004,Возле хранения ХОВ из коробки пролилось масло  риск подскользнутся.
1450,31,21.05.19,004,На электрокаре лопнула рессора.
1451,32,21.05.19,004,В кабинете ПРБ с потолка свисает декоротивная планка освещения. Есть риск  что она упадёт.
1452,1,01.07.19,004,На проходе стояла тележка для перевозки мелких деталей.Риск споткнутся и упасть.
1453,2,02.07.19,004,За станком 17 и 18 была большая лужа воды. Риск подскользнутся и упасть.
1454,3,03.07.19,004,Из поддона торчал гвоздь  риск спотыкнутся.
1455,4,05.07.19,004,На участке гибки междуамадой абкантом   заливали фундамент под новый станок  было ограждение из подручных средств  к ящикам из под инструмента. Невозможно было пройти.
1456,5,08.07.2019,004,на столе возле станка 17 на сломанном поддоне  лежали детали. Риск падения деталей с поддона и получение травмы рабочего.
1457,6,15.07.19,004,Стоял поддон на подходе к стеллажу с оснасткой. Риск задеть поддон и получить травму.
1458,7,15.07.19,004,Возле станка 4 лежит на полу шланг подачи воздуха риск споткнутся и упасть.
1459,8,16.07.19,004,между станками 6 и 2   лежит обрезь просечки   очень близко к ящикам рабочих   есть риск получить травму.
1460,9,16.07.19,004,Возле станка 12 лежат заготовки с острыми кромками   есть риск получить травму ног.
1461,10,16.07.19,004,Раскиданы деревянные бруски на проходе  есть риск споткнутся.
1462,11,16.07.19,004,Сломанные стойки на одной стороне стеллажа. Риск получить травму при падения стеллажа.
1463,12,16.07.19,004,Не изолированный выключатель на кабинке в душевую комнату  риск получить удар током при включении света.
1464,13,16.07.19,004,Возле вальцовочного станка   между стыками пола большая штроба. Об которую споткнулась и чуть не упала.
1465,14,16.07.19,004,На участке  возле станка стоял сломанный поддон с габаритными деталями   риск получить травму.
