<DATE>,<CODE>,<DESCR>
23.11.21,003,Водитель-экспедитор находился на площадке 150-го участка без СИЗ  без медицинской маски  без специального жилета 
23.11.21,003,Из контейнера с комплектующими выступает уголок с острыми кромками  Существует риск порезаться 
25.11.21,003,Водитель находится в кабине при погрузке на 150 уч  Автомобиль ВЗТ 
25.11.21,003,Из стеллажа для хранения металлопроката выступает уголок  Существует риск получения травмы 
26.11.21,003,Между 2-м и 3-м пристроем в течении работы на полу скопилась дробь  существует риск подскользнуться 
29.11.21,003,Из контейнера с комплектовкой на сварку выступает профиль с острыми кромками  существует риск порезаться 
29.11.21,003,В проход из контейнера выступает струба с острыми кромками  Есть риск получения травмы 
30.11.21,003,Готовые изделия выступают из контейнера и перекрывают проход
01.12.21,003,Баллоны в месте хранения без колпаков 
01.12.21,003,Не фиксируется рукав вытяжки (Совплима) 
02.12.21,003,В зоне хранения готовой продукции разбросан прокладочный материал  
03.12.21,003,Лопнула  труба воздушной системы (рассохся шланг)
13.12.21,003,Проход заставлен готовой продукцией
13.12.21,003,Отсутствует защитный кожух на УШМ 
14.12.21,003,У ДРБ на полу рассыпана дробь  Существует риск падения и получения травмы 
06.01.21,004,На полу возле станка подтеки масла  Вероятность подскользнуться и получить травму 
06.01.21,004,На телеге с поддоном лежали большие детали  без красных предупреждающих треугольников  Риск не заметить и получить травму 
04.01.21,004,Возле станка неровные полы (бугры  канавки)  Вероятность споткнуться и получить травму 
06.01.21,004,Возле 1 SG проходящая по полу рейку заземления отогнута вверх  опасность споткнуться 
06.01.21,004,Около станка SG2 лежал сломанный поддон 
20.01.21,004,Проход к инструменту заблокирован металлом 
20.01.21,004,Шел по территории завода  проходил через участок тротуара  где гольный лед-чудом не упал 
21.01.21,004,За станком №17 была утечка масла  Риск подскользнуться и упасть 
26.01.21,004,Около ящиков с матрицами споткнулся об  старую полосу заземления
26.01.21,004,Возле станка №3 небрежно складировались поддоны  могло привести к различным рода травмам 
26.01.21,004,На участке штамповки возле станка №9 лежит поддон с длинными обрезями  можно получить травму ног 
25.01.21,004,Между станками №2064374 и №206363 стоял поддон с длинной полосой и мешал подходу к столу Риск порезаться об торчащую полосу 
22.01.21,004,За станком №6292 на полу в проходе лежал шланг подачи воздуха  Риск споткнуться и упасть 
25.01.21,004,Постоянно закрыта 1 дверь на выход с проходной 
25.01.21,004,Обходя абкант споткнулся об провода  лежащие на полу  Чуть не упал 
25.01.21,004,Лестница в плохом состоянии  постоянно спотыкаешься  особенно когда помоют полы 
26.01.21,004,В комнате для приема пищи торчит дюпель гвоздь из пола есть опасность упасть и получить травму 
26.01.21,004,Из гидравлики станка подтекает масло с попаданием в рабочую зону  Есть риск подскользнуться и получить травму 
26.01.21,004,Восстановить полы возле ВМ-200 
26.01.21,004,В душевой отсутствуют резиновые коврики  Есть опасность подскользнуться и получить травму 
25.01.21,004,Закрепить листы металла около 1 лазера  Возможно споткнуться и упасть 
25.01.21,004,Споткнулся о выбоену в полу возле лазера №4
25.01.21,004,Около Хаммерли 200 полы пришли в негодность 
25.01.21,004,На столе оператора лоток для документов торчал  можно порезаться 
01.02.21,004,При входе в цех висят огромные сосульки  которые могут нанести травму при падении 
03.02.21,004,Негабаритные детали лежат за пределами разметки 
03.02.21,004,На станках SG на контейнерах для выштамповки сломаны колеса  Применяняется большое усилие чтобы их сдвинуть с места  Перемещение без колес портит бетонное покрытие пола 
03.02.21,004,Не исправнв рулевая колонка кары  Люфт 360 
04.02.21,004,В зоне где открываются ворота - на полу торчат штыри 
04.02.21,004,На складе около зарядного устройства из пола торчит арматура  на которой можно споткнутся 
10.02.21,004,Станок СГ№1  Одна из телег для деталейимеет поломку стопора колеса  Опасность выката телеги на оператора 
10.02.21,004,За станком ФП№5  в районе парковки погрузчиков  из пола торчит штырь  Опасность получения травмы работником 
06.02.21,004,На шкафу для инструмента выступает край от поперечины  Есть риск порезаться  
17.02.21,004,Чтобы вылить конденсат с компрессора  Надо пролезть через кучу шлангов и труб  Есть вероятность  что оператор запутается и упадет с канистрой 
17.02.21,004,По полу идет труба к которой приварен кран  Есть риск споткнуться и упасть 
24.02.21,004,После ППР был розлив масла возле пресса  Была вероятность подскользнутся  что могло привести к падению 
24.02.21,004,Щель в стене в углу  Дует ветер - риск простудится и заболеть 
24.02.21,004,"Возле стелажа хранения рабочего инструмента ""Пробивки"" 669  высоко торчащая оттпола шина заземления  от убранного станка "
24.02.21,004,Под пожарным краном №22 задрано заземление  есть риск падения 
24.02.21,004,Возле пресса №6430 установлен на стол поддон с габаритными деталями  С острыми торчащами краями  Риск получить порез 
24.02.21,004,Не закреплен поддон на первом лазере  Возможность споткнуться и упасть 
24.02.21,004,По дороге на работу около столовой очень плохая дорога(возможность споткнутся и получить травму)
24.02.21,004,Возле ВМ-200 полы убитые(ямы  выбоины  трещины)  Риск оступится 
24.02.21,004,На участке гибки  возле финн№1 лежал сломанный поддон 
24.02.21,004,На полу валялась палка от поддона
25.02.21,004,Металические полки для мыла опасно выпирают в проходе душевой  Риск поранить руку 
25.02.21,004,В комнате приема пищи в полу торчит дюпель гвоздь  есть вероятность получить травму 
25.02.21,004,Подтекает масло из гидравлической системы  Есть риск поскользнуться и получить травму 
25.02.21,004,Поломка колес от выдвижной шторки  которая защащает участок цеха от УФ-излучения
25.02.21,004,Межде Ж/Д путей лист металла очень скользкий
03.03.21,004,Станок ACF  Рядом с ним разлив масла  Опасность падения 
03.03.21,004,При входе в цех  В районе склада  перед дверью образовалась наледь  Опасность падения 
17.03.21,004,Возле пробивочного станка С5 глубокие выбоины в полах  возможность споткнуться 
17.03.21,004,Возле станка для формовки углов рассыпана обрезь после формовки  Риск травмы ноги 
23.03.21,004,не работают поворотники 
23.03.21,004,не работает звуковой сигнал
25.03.21,004,Возле пожарного гидранта №22 торчит шина заземления  опасность падения 
25.03.21,004,Между стеной и гильотинными ножницами Bayeler стоит станок продольной резки  мешает проходу  опасность падения 
25.03.21,004,На полу  рядом со станком была маслянная лужа  Вероятен риск подскользнуться и получить травму 
25.03.21,004,Возле муссорных бачков было розлито масло для смазки станков после ремонта станка  Могло привести к падению рабочего 
25.03.21,004,Возле станка №22 на поддоне положена заготовка более 2х метров с заостренными краями  что могло привести к травме ног 
25.03.21,004,Стерлась разметка рабочей зоны около станка АМ-80-25
24.03.21,004,Возле пробивочного станка С5 глубокие выбоины в полах  возможность споткнуться 
29.03.21,004,На против столовой разбитая дорога  Что может привести к травме 
29.03.21,004,Л-1 Не закреплены поддонные листы  Возможность споткнуться и получить травму 
29.03.21,004,За лазером №4 с компрессора на пол течет масло  при укладке металла стропальщиком есть вероятность подскользнуться и получить травму 
24.03.21,004,Над входом к технологам КРП и ЧПУ плохо закреплены металлические панели  опасность падения 
29.03.21,004,сзади будки мастеровлежит труба по которой идетсжатый воздух  Об нее всегда спотыкаются  Это может привести к травме 
29.03.21,004,На участке стерта вся разметка
05.05.21,004,Станок SG2  Рядом с ним на полу разлив масла  Опасность падения оператора 
05.05.21,004,Станок FP№1 Рядом с ним находилась телега с деталями со сломанным тормозом  Опасность самопроизвольного движения 
26.05.21,004,В туалете возле ПРБ не горит освещение  Риск получить травму 
21.05.21,004,Не исправно рулевое управление
22.05.21,004,Не работает звуковой сигнал
20.05.21,004,Станок SG3 Обнаружил сломанный поддон с деталями  Опасность падения деталей на оператора 
20.05.21,004,В комнате приема пищи обнаружены сломанные стулья  Опасность падения
20.05.21,004,Станок SG2  Рядом со столом оператора находится разбитая электророзетка  Опасность поражения электрическим током 
20.05.21,004,Углоформовочный станок  Обнаружен потек масла на полу  Опасность падения 
20.05.21,004,Вальцовка  Рядом с ней на Ж/Д путях из пола торчит пруток  Опасность получения травмы 
19.05.21,004,Сломан замок на двери в комнате приема пищи  Есть вероятность получитьтравму или поломку двери при ее открытии 
19.05.21,004,Возле станка Финн №2 неровности на полу  вероятность споткнуться и получить травму 
26.05.21,004,В комнате приема пищи находится разбитая электророзетка  Опасность поражения электрическим током 
26.05.21,004,RAS  Габаритные детали стоят без предупредительных знаков  Опасность получения травмы  
26.05.21,004,На лазерном участке возле станка 3Р225(гибка) выбоина в бетонном полу 
26.05.21,004,В душевой нет резиновых ковриков  Есть риск подскользнутся и получить травму 
26.05.21,004,ВМ-200 Заменить подвижный стол для поддержки листа 
26.05.21,004,Скользкий металический лист между Ж/Д путями около МЕтОП 
26.05.21,004,"Возле стелажа с оснасткой ""пробивки"" высоко поднятая от пола шина заземления  Риск споткнуться и получить травму "
26.05.21,004,Возле пресса 6429 на столе установлен поддон с деталями близко к краю стола  Риск опрокидования поддона и получения травмы 
26.05.21,004,Габаритные детали  лежащие на поддоне выступали за линию разметки  Риск споткнуться и получить травму 
28.05.21,004,Из контейнера с металлоломом торчала обрезь металла
28.05.21,004,Возле станка Абкант было обнаружено пятно масла  Риск поскользнуться 
28.05.21,004,Споткнулся  помогая закрывать ворота мастеру после второй смены  Подъём к воротам в ужасном состоянии 
10.06.21,004,Станок FP№2  Рядом с ним на полу обнарудены подтеки масла  Опасность падения 
10.06.21,004,На участке обнаружены сломанные поддоны с деталями  Риск сваливания деталей на работника 
02.06.21,004,Вокруг станка неровный пол  Есть риск споткнутся 
16.06.21,004,Деревянный брусок на проезжей части пролета
16.06.21,004,На поддоне была сложена заготовка  одна из деталей в партии была сложена так  что перегородило проход к станку 
16.06.21,004,Сломан контейнер для деталей
02.06.21,004,Не аккуратно сложена обрезь(полоса)  Края торчат на проходе 
25.06.21,004,Скользкий металический лист М/У Ж/Д путей  Риск подскользнутся 
25.06.21,004,Кафель на полах поломалось и образовались ямы  есть вероятность получить травму 
25.06.21,004,В душевой нет резиновых ковриков  Есть риск подскользнуться и получить травму 
25.06.21,004,Разрушена сетка - может привести к травме 
29.06.21,004,Трещина в деревянной ручке молотка
29.06.21,004,Между станками №9 и №22 на поддоне лежит обрезь 2500*50*3 с выступающими острыми краями  Что иогло привести к травме ног 
29.06.21,004,После доливки масла у станка образовалось маслянное пятно- у педали управления станком  Могло привести к травме 
14.04.21,004,Станок ACE  Рядом сним разлив масла на полу  Опасность падения работ ников 
14.04.21,004,Станок FP№3 За столом оператора сломана розетка  Опасность поражения эл  Током 
07.04.21,004,Около листоправильной машыны неровный пол  Появилась яма  Рабочий может оступиться и упасть 
07.04.21,004,На участке КРП  а именно SG1-SG3  Мелкие детали после реза попадают под станки или в мусор  При их сборе есть опасность получить травму 
28.04.21,004,Брусок от поддона валялся около Финн4
28.04.21,004,На складе нп проезжей части валялась палка от поддона 
26.04.21,004,не работает звуковой сигнал
26.04.21,004,Около зоны кнопки открытия ворот на полу торчат штыри об которые можно споткнуться
26.04.21,004,В душевой на первом этаже может упасть потолок который может привести к травме 
30.04.21,004,Споткнулся о выбоене в полу 
30.04.21,004,Возле лазера №4 разломан пол  Можно споткнуться и получить травму 
30.04.21,004,При замене газа на стойке большая вероятность получить травму из-за высокой ступеньки
30.04.21,004,Около большой вальцовки где проходит рельсы  Торчит уголок  Можно споткнуться и получить травму 
30.04.21,004,На участке штамповки  возле станка инв№6429  установлен на стол аварийный поддон с деталями! Риск получения травмы 
30.04.21,004,Течет масло на станке Beyler/ Под станком большая лужа  Риск подскользнуться и получить травму 
30.04.21,004,Возле пожарного гидранта №22 приподнята от пола полоса заземления  Риск падения 
30.04.21,004,Пресс Инв№206437  Возле станка маслянное пятно  Риск подскользнуться и получить травму 
30.04.21,004,"На участке штамповки  возле оснастки ""пробивка""  высокоторчащая шина заземления  Риск споткнуться и получить травму "
30.04.21,004,Возле станка Инв№6294 установлен поддон  Торчащие концы заготовки  выходят за линии разметки  Риск споткнуться и получить травму 
30.04.21,004,За прессом Инв№6294 размотан шланг подачи воздуха  Риск споткнуться и получить травму 
30.04.21,004,На пуансоне Ш1-5225 треснул держатель пуансона  Риск разлома 
19.07.21,004,В модуле на складе у кладовщиков сломан стул  с которого можно упасть 
19.07.21,004,На красной каре не работают тормоза 
19.07.21,004,В раздевалке на первом этаже скоро упадет потолок 
19.07.21,004,В раздевалке на первом этаже на стенах грибок 
16.07.21,004,Возле гибочного пресса RAS куча поддонов - невозможно подойти к станку  Риск получить травму ноги 
16.07.21,004,Подход к станку заставлен деталями  Есть риск порезаться 
21.07.21,004,По полу потеки масла  Опасность падения 
21.07.21,004,Габаритные детали без маркировки опасности  Риск травмы 
20.07.21,004,Постоянно теч масла из под станка в рабочую зону  Риск подскользнуться и получить травму 
20.07.21,004,Заменить стол удерживающий детали 
20.07.21,004,В душевой нет резиновых ковриков  Риск подскользнуться и получить травму 
20.07.21,004,Несколько ям в дорожном покрытии возле Метоп
28.07.21,004,Лежал сломанный поддон  риск об него споткнуться и упасть
27.07.21,004,Обрыв воздушного шланга
26.07.21,004,Возле станка №6294 на проходе лежал шланг подачи воздуха  Риск споткнутся и упасть 
26.07.21,004,Между станками №17 и 18 лежала обрезь металическая с острыми кромками  Была опасность получения травмы ног 
26.07.21,004,Возле стака №22 на поддоне лежит заготовка больших габаритов  выступающая за пределы разметки  Риск получить травму ног 
26.07.21,004,Вдоль Абканта №3 находятся провода и шланги  Риск споткнуться и упасть
26.07.21,004,На поддоне вылезли гвозди  Риск поранится 
26.07.21,004,Возле хранения сито  было разлито масло  Риск подскользнуться и получить травму 
27.07.21,004,Сломан поддон для готовых деталей 
26.07.21,004,На кранбалке перекручены троса  риск поранить руки 
26.07.21,004,Поддон мешает проходу к станку  Риск споткнуться и упасть
27.07.21,004,На столе у преса 206437 стоял сломанный поддон  Риск падения деталей 
27.07.21,004,Возле станка FEMAS стоял проходной контейнер который мешал проходу к станку  Риск споткнутся и получить травму 
27.07.21,004,Сбоку станка №205096 обнаружил лужу масла  Риск подскользнутся и упасть
21.07.21,004,По полу потеки масла  Опасность падения 
04.08.21,004,Станок ACF потеки масла на полу  Опасность падения и получения травмы 
04.08.21,004,В комнате для приема пищи разбита одна из розеток  Опасность поражения эл  Током  
11.08.21,004,В центральной части цеха не работает вытяжка 
11.08.21,004,У станка было разлито масло 
19.08.21,004,По полу потеки масла  Опасность падения 
19.08.21,004,Станок FP№1 Поддоны с габаритной заготовкой стоят без предупредительного маркера  Опасность получения пореза 
25.08.21,004,Плохо закреплены панели над входом к технологам КРП
26.08.21,004,Не работает указатель поворота  может привести к ДТП
26.08.21,004,Не исправно рулевое управление
08.09.21,004,В крмнате для приема пищи соят два контейнера в которые складываются пищевые отходы  Из-за этого появились мыши  После выходных стоит сильный запах 
09.09.21,004,В летнее время температура в цехе доходит до 42 градусов С  Есть вероятность  Что станет плохо рабочим 
15.09.21,004,В комнате приема пищи сломан блок розеток  Опасность поражения эл  Током
15.09.21,004,Потеки масла рядом со станком FP№2  Опасность падения и получения травмы 
22.09.21,004,Возле складского модуля открыты ворота  постоянный сквозняк возле 5 и 6 Фина  Что приводит к простудным заболеваниям 
22.09.21,004,Плохо закреплены панели над входом к технологам КРП
29.09.21,004,Возле станка ВМ-100 подтекает масло  есть риск подскользнутся 
29.09.21,004,В душевой нет резиновых ковриков  есть риск подскользнуться и получить траму 
29.09.21,004,Неисправные стулья  Риск падения 
29.09.21,004,Очень низко свесают ветки дерева карагач  При ветренной погоде риск повреждения глаз 
29.09.21,004,Отсутствие света на рабочем месте
29.09.21,004,Поломка ножек от защитных ультрафиолетовых штор
29.09.21,004,Возле станка ВМ-100 подтекает масло  есть риск подскользнутся 
29.09.21,004,В рабочей зне станка ВМ-200 разрушено напольное покрытие  Существует риск запнуться и получить травму 
29.09.21,004,Течь масла с ножниц гидравлических BEYELER  Рис подскользнутся 
29.09.21,004,На стелаже со штампами №2 складирован штамп близко к краю 
29.09.21,004,Из контейнера с обрезью  торчала обрезь  Риск порезаться и получить травму 
29.09.21,004,"Высоко торчащее от пола заземление  возле стелажа оснастки пробивки №669"""
29.09.21,004,Выпирающие концы  габаритных деталей возле станка инв№6430
29.09.21,004,За прессом №6430  на полу лежал шланг подачи воздуха 
29.09.21,004,Потеки масла на полу возле пресса №205363
29.09.21,004,В туалете  Возле умывальника на полу разлита вода  Риск подскользнуться и упасть 
29.09.21,004,На участке штамповки установлен контейнер с заготовками за линию разметки 
29.09.21,004,Возле пресса №6322 торчит кусок заземления 
29.09.21,004,На участке штамповки обнаружена табуретка со сломаной ножкой  Риск упасть и получить травму 
29.09.21,004,Возле пожарного гидранта №22 высоко от пола торчит шина заземления  Риск споткнуться и получить травму 
06.10.21,004,Между модулем и компрессором были подтеки масла
06.10.21,004,Часто открыты ворота в районе складского модуля  Сквознякю Риск заболеть
01.10.21,004,Сломан поддон для готовых деталей
01.10.21,004,удлиннитель на проходе  Риск споткнуться 
01.10.21,004,На сломанном поддоне лежали детали  Поддон мог сломаться и привести к травме 
01.10.21,004,Возле модуля мастеров из пола выступает часть арматуры  Риск споткнуться 
01.10.21,004,Бирки на полу  Рис подскользнуться 
01.10.21,004,Из контейнера отходов металла выступает обрезь металла с острыми кромками
27.10.21,004,В комнате приема пищи была неисправна розетка 
27.10.21,004,Станок SG2 телега с неисправным тормозом  Опасность скатывания на оператора 
23.10.21,004,В душевой на первом этаже может обрушиться потолок
23.10.21,004,В комнате приема пищи сломаны стулья
23.10.21,004,На каре отсуствует свет
23.10.21,004,На красной каре отсутствуют тормоза 
20.10.21,004,При осмотре рабочего места обнаружил  что бруски-прокладки лежат с торчащими наружу гвоздями 
20.10.21,004,Крупногабаритные детали лежали на поддоне без обозначения выступающих частей 
20.10.21,004,В душевой плохой слив  Пол в раздевалке скользкий  Риск подскользнуться 
20.10.21,004,Рядом со станком в полу неровность  Выбоина
20.10.21,004,Рядом со станком в полу неровность  Выбоина
10.11.21,004,Станок ACF  Розлив масла  Риск падения 
10.11.21,004,Станок SG2  Находилась телега со сломанным колесом  Риск падения с нее заготовок 
10.11.21,004,Плохо закрываются ворота  выходит тепло  При закрывании можно получить травму 
09.11.21,004,В душевой свисает потолок и плохо уходит вода 
03.11.21,004,Рядом со станком в полу неровность  Выбоина
03.11.21,004,Подход к SG№2 заставлен тележками  Есть вероятность порезаться
17.11.21,004,У тележки открутилось крепление колеса  Есть вероятность  что колесо отвалится и с телеги упадет поддон с деталямию
17.11.21,004,Возле столовой бегает стая собак  Есть вероятность  что они могут проявлять агрессию и могут напасть на людей 
18.11.21,004,На участке гибки стоял контейнер  из него торчала жесткая проволока  Есть риск получить травму 
18.11.21,004,Возле Абканта находятся провода  Риск споткнуться и упасть 
18.11.21,004,Возле Абканта протекает масло  Риск поскольнуться и упасть 
18.11.21,004,За 3-м лазером не удобно менять балонны с газом  Все время рискуешь споткнуться и упасть 
18.11.21,004,В очередной раз довожу до вашего сведения  что возле станка разбиты полы  есть возможность споткнуться и получить травму 
18.11.21,004,Возле лазерного станка №4 разломан пол  есть возможность споткнуться и получить травму 
17.11.21,004,Сломан поддон для готовых деталей 
17.11.21,004,Стерлась разметка на полу 
16.11.21,004,Рядом с местом хранения сито разлилось масло  Риск подскользнуться 
17.11.21,004,Станок № 17  Была утечка масла  Риск поскольнуться и упасть 
15.11.21,004,Лестница ведущая в женскую раздевалку - разбиты ступеньки  Риск споткнуться и упасть 
17.11.21,004,На проходе между станками №205364 и №205363 лежал шланг подачи воздуха  Риск споткнуться и упасть 
17.11.21,004,Возле станка №206438 стоял сломанный поддон с деталями  Риск падения деталей и получения травмы 
18.11.21,004,Поставили контейнер с оторванным ухом на стол  
18.11.21,004,В мужском туалете очень слабое освещение  Из 3 ламп горит одна 
01.12.21,004,Гавкают собаки  Есть риск  что кинутся на людей
01.12.21,004,На участке валяется сломанный поддон 
01.12.21,004,В душевом отделении отсуствует освещение  Риск падения 
22.12.21,004,Рядом со входной дверью образовалась наледь  Опасность падения 
22.12.21,004,Подтеки масла  Опасность падения 
17.12.21,004,Отломилась одна петля на калитке ворот(верхняя)  Есть опасность падения двери  что может привести к травме 
16.12.21,004,На линии возле гибочного робота поддон с габаритными деталями выступающими за пределы поддона без треугольников(возможны травмы  порезы) 
16.12.21,004,Finn Power №3 при опускании траверсы происходит сильное подергивание станины  которая ударяет по детале и она подпрыгивает(может нанести травмы оператору)
15.12.21,004,На складе в зоне загрузки на полу ямы  которыу могут привести к травме 
14.12.21,004,В душевой провисает потолок  Возможен обвал 
20.12.21,004,На RED BIN лежит деталь с выступающими габаритами  что может привести к травме ног 
20.12.21,004,Возле оснастки пробивки высоко поднята полоса заземления от пола  Риск споткнуться и получить травму 
20.12.21,004,В контейнере для складирования обрези торчит габаритная обрезь(длинная)  риск получить травму 
20.12.21,004,Возле 5 колонны на уч  Резки из пола торчат 2 штыря  Опасность падения
20.12.21,004,Возле ПК №22 торчит полоса заземления  Опасность падения 
20.12.21,004,После ремонта станка FEMOS было пролитие масла  Что могло привести к травме 
11.01.21,005,Течет кран
11.01.21,005,Перегорела лампочка в туалете
12.01.21,005,В испытательной лаборатории разрушена напольная плитка
11.01.21,005,На участке зарядка  заделать щели в полу 
12.01.21,005,Нв участке клеммиков стоит поддон на проходе Есть возможность спрткнуться 
11.01.21,005,На участке клеммников у стеложа Р-4390 сломанна ручка (торчат винты) Возможность поранить руку 
12.01.21,005,На участке шкафов  на рабочем посту №11 отсутствует освещение 
19.01.21,005,На проходе участка клеммников на стеложах длинные рейки которые выперают на проход  Проходящие задевают о них руками это вожет привести к травме руки 
19.01.21,005,В связи с холодами на улице в цехе очень холодно  ворота из оргстекла не закрываются 
19.01.21,005,На проходе к женскому туалету(второй этаж) лежит лестница 
19.01.21,005,На входе в женскую раздевалку лежит большая половая тряпка о которую можно споткнуться и получить травму 
19.01.21,005,При работе на Участке МШС на посту №8 сломанно колесо у стула из-за приещин в полу 
19.01.21,005,На участке МШС около стелажа НП из пола торчит оьломанный штырь о который можно споткнуться и получить травму 
19.01.21,005,"На участке МШС около постов ""7 8 10 в полу трещины спотыкаемсяюпопадает мусор препятсвует уборке "
19.01.21,005,На участке МШС в проходе на полу ямка Можно споткнуться
19.01.21,005,скользкое поктрытие на крыльце со стороны территории завода есть вероятность падения
19.01.21,005,При открывании двери женской раздевалки можно ударить ей человека идущего в туалет т к дверь открывается наружу
19.01.21,005,На участке потоки на заднию стенку на рабочем посту №26 в полу трещина о которую постоянно спотыкаемся 
19.01.21,005,На участке потоки на заднию стенку на рабочем посту №19 сломан держатель для стекла 
27.01.21,005,Не достаточно освещения на учвастке ВАЮ особенно во вторую смену 
28.01.21,005,Нв участке в зоне комплектовки повреждено напольное покрытие Это может привести к травме либо повреждению покупного оборудования 
26.01.21,005,На посту №17 сломанно освещение 
26.01.21,005,На участке на стеложа хранения  готовой продукции левых боковин висит поток можно упасть
26.01.21,005,На участке потоков на заднию стенку на проходе стоя шаблоны 
26.01.21,005,Наиучастке стоит теневая доска не в разметки
26.01.21,005,На проходе возле стеложа стоят тележки К-59
25.01.21,005,На участке задней стенки  стоят сломанные стулья 
25.01.21,005,На участке резки коробов на проходе стоит часть стеллажа Мешает передвижению
25.01.21,005,Сломанны крепления для шкафов на  четырех телегах 
25.01.21,005,На комплектовке №1 потрескался пол 
22.01.21,005,На участке на проходе стоит стул о который можно споткнуться  
20.01.21,005,В помещении проходной при входе очень скользко 
21.01.21,005,На улице в некоторых местах стек крыш оброзовалась большая сосулька 
26.01.21,005,На участке ВВ возле поста ВА перегорели лампы 
27.01.21,005,На посту №6 сломан стул есть риск получить травму 
01.02.21,005,На участке сломанно два стула
01.02.21,005,На рабочем посту №11 отсутствует освещение 
01.02.21,005,Не горит лампа над столом с опросными листами
01.02.21,005,На проходе возле участка НКУ неровная поверхность пола(ямы)можно спотыкнуться и упасть 
01.02.21,005,На участке ВА около поста №1 в проходе и в зоне ИС сильное повреждение поверхности пола что сильно затрудняет перевозку телег с оборудованием 
01.02.21,005,На участке НКУ торце стеложа имеются 2 острых края 
01.02.21,005,На участке  воздушные шланги лежат на проходе даже если оператор не работает 
01.02.21,005,на рабочем посту №1 от светильника висит непонятный провод
